Sample,S02_1,S02_2,S02_3,S03_1,S03_2,S03_3,S07_1,S07_2,S07_3,S08_1,S08_2,S08_3,S16_1,S16_2,S16_3
Acetaldehyde,39.06350003,-,-,-,49.01866269,17.33471245,146.4340341,15.51594083,311.7245914,279.0990379,333.2780952,249.265407,46.11359976,385.4411377,428.2066563
Ethyl acetate,-,-,-,-,-,-,-,-,-,3458.764993,-,-,-,-,-
"2,3-Butanedione",4680.405622,4069.126535,-,5707.783561,248.7427417,5963.822281,3443.587333,1979.797925,-,2324.087597,2298.831855,-,4919.066696,2986.893932,4824.875358
"2,3-Pentanedione",382.9729266,-,-,191.4156934,-,-,156.1606203,155.5086678,222.5736601,234.7805436,-,485.6733875,457.9997593,493.8827364,400.3047758
2-Heptanone,26.45881238,21.56551068,-,23.98973341,-,-,51.09496261,21.19882713,38.28654859,91.25259352,88.69262044,79.95582856,62.03341819,60.55496946,24.05625894
Acetoin,13566.75479,16200.26469,22124.73573,46574.83324,60981.74329,59602.25294,11685.37302,9153.175308,10127.75449,6985.811099,6507.146439,6745.964128,10658.99582,10508.42514,14534.55595
Dimethyl trisulfide,-,-,-,-,-,-,4.918289624,-,-,-,-,-,4.783370694,4.784717373,-
2-Nonanone,48.7490523,-,42.14440365,-,-,40.8637862,45.31799619,-,43.12962414,46.79903171,47.79859421,53.44923065,41.15929936,44.25325156,43.10095065
Acetic acid,30219.00346,42581.27922,52838.32056,79815.78116,122406.0327,136854.7019,13823.19762,6027.576324,6516.171669,10593.8548,6789.918435,6186.999475,12538.13264,10775.96912,20910.92639
Benzaldehyde,73.68205748,71.16075912,72.50410835,89.84536311,82.48284299,-,75.70052216,73.36426556,73.91775152,65.17028062,65.30987343,65.08105874,65.5221403,65.18447635,65.15215868
2-Undecanone,-,-,-,-,-,-,4.778465143,-,-,7.21632391,6.776799966,6.780789071,-,-,4.048371011
Butanoic acid,1444.96773,1391.480172,1649.43685,7076.641628,9347.053173,12870.77752,2166.26653,1513.92816,1804.915466,526.7751585,-,447.2608606,1265.383928,1409.840428,1651.958007
Pentanoic acid,-,-,617.3377319,-,-,781.2229758,607.057702,-,609.4745347,572.983307,-,-,587.5312436,587.613391,588.5186552
Hexanoic acid,2951.202287,2596.106408,2507.618197,9626.594652,8836.127933,8896.759316,3901.361101,4115.883638,4202.649493,564.6532239,607.7940053,652.7634425,1923.703794,2287.527581,2466.943697
Dimethyl sulfone,1905.172651,1575.872859,865.1013567,3017.092217,2555.22604,-,1328.09359,2053.587678,2094.521167,1622.02397,2435.083063,1888.036882,1091.990481,1886.930696,3110.023064
Heptanoic acid,478.2493187,477.6008999,471.593022,-,-,-,426.2281432,438.5560756,439.0808874,-,-,-,-,429.3859269,-
Phenol,5.964979816,4.813485653,5.397893747,-,8.996181696,9.106351997,5.687214875,4.667878752,4.574741442,8.849356752,8.256331177,8.469434214,-,4.476236319,11.84280035
Octanoic acid,787.3603886,796.6791266,742.1794412,2128.64935,2083.10997,1804.413425,650.971902,789.598342,739.229107,118.0331229,140.2295814,148.6240846,264.6611611,270.2392223,258.403113
Nonanoic acid,-,652.7437897,-,690.3094197,679.5103767,-,-,643.2519743,-,-,-,-,-,-,-
delta-Decalactone,53.37283569,49.67557768,50.46351791,104.2054043,95.23752706,81.75247986,53.1288815,61.87938339,58.81928297,42.64065762,43.06286576,42.88187764,46.50584793,48.63010698,47.57309495
Decanoic acid,1071.276115,989.8938409,860.980148,2441.401278,2308.503105,1812.991172,512.5176851,685.4036609,595.9545073,-,-,-,-,231.9627332,272.1260696
Label,Cheesy,Cheesy,Cheesy,Cheesy,Cheesy,Cheesy,Cheesy,Cheesy,Cheesy,Cheesy,Cheesy,Cheesy,Cheesy,Cheesy,Cheesy
