Sample,S01_1,S01_2,S01_3,S12_1,S12_2,S12_3,S14_1,S14_2,S14_3,S10_1,S10_2,S10_3,S05_1,S05_2,S05_3,S06_1,S06_2,S06_3,S11_1,S11_2,S11_3,S17_1,S17_2,S17_3
Acetaldehyde,-,175.6786618,39.77166344,93.67751062,352.146773,26.61208233,185.2020246,178.0999325,159.5533986,410.6579005,422.1372788,13.91946168,143.9311448,158.0144951,163.0900435,15.40414177,148.9003554,138.3937382,22.76975555,57.99779452,133.7927774,30.32354991,132.8486899,487.2275517
"2,3-Butanedione",4759.377435,-,4076.815137,2054.903717,1441.210308,2331.856055,1603.468637,1850.384828,1436.619626,656.541155,690.6265663,647.8118423,1733.267938,-,1520.64774,1204.039953,11319.61642,1241.308451,268.9918778,-,230.4797494,4265.776343,267.7115831,4315.463219
"2,3-Pentanedione",-,245.1843362,-,-,-,-,-,-,-,-,-,-,134.146666,99.54470271,107.3085903,177.2660753,117.7982729,123.6214127,-,-,-,295.1983629,303.7278277,-
2-Heptanone,-,19.79384164,-,26.78556086,-,29.31771074,9.825690689,10.30908938,-,16.88047993,19.69347247,10.03872436,17.89943118,14.69888299,17.23344457,32.55460781,33.64728666,32.34632423,-,6.462559958,8.772231668,44.3862957,43.49712498,39.33303577
3-Hydroxy-2-butanone,10314.33868,8973.718394,11026.29971,12404.01024,23850.62221,17353.80817,1758.791596,2103.466554,1508.163315,1879.698056,2102.750501,4000.036097,3988.027651,3430.775502,5005.00603,4453.700951,5096.295391,5553.747137,1204.959269,2768.907052,1595.597843,5992.232121,5620.172604,5552.91604
1-Hexanol,-,8.747135237,9.05011242,-,-,-,6.447741612,-,-,-,7.419574954,7.524422201,7.54462319,6.868918581,6.789131508,-,7.051282841,-,-,6.287818629,-,7.361467829,7.471944206,-
Dimethyl trisulfide,-,-,-,-,-,-,4.771420763,4.793148627,-,4.848217532,4.909258649,4.902478809,4.743845726,-,-,-,-,-,4.774917617,-,4.76287679,4.804088175,4.816088215,4.799574067
2-Nonanone,43.71310769,40.83021428,-,38.10340334,42.44418701,43.83261045,35.1861919,-,36.24555211,36.66550263,35.47100246,35.58104567,-,-,34.32417447,38.3665096,37.79346778,38.30292266,33.93012579,35.71605934,34.20640564,-,-,-
Acetic acid,20870.83696,12410.1898,16725.86066,31289.57444,89363.27943,60843.15004,3125.766581,3303.644445,3156.019812,5497.724748,5669.300387,15448.52304,3614.590607,2537.035605,7713.439395,4312.376918,4837.064075,5025.647555,1700.427862,10884.63527,5730.208752,6676.743306,6528.697338,7361.493271
Benzaldehyde,72.99310835,70.31791472,71.68311881,74.95137109,81.42902905,75.26639436,66.57548694,67.76990254,66.61235417,-,-,-,64.3672458,-,64.48285404,63.48836302,63.65066734,64.5891122,63.48565795,-,63.82816726,68.02270473,-,67.64710111
