Sample,S18_1,S18_2,S18_3,S19_1,S19_2,S19_3
Acetaldehyde,27.52666754,127.1997513,83.26600894,1015.151903,779.7959267,2028.901383
"2,3-Butanedione",3170.490353,-,1963.288779,1668.167056,4002.661423,2835.41424
"2,3-Pentanedione",-,-,-,360.0570829,251.5544973,459.551957
2-Heptanone,25.32642489,29.48696731,68.03091908,63.48563225,76.46653104,-
Acetoin,99588.87642,101051.3399,72733.59555,94496.46263,78978.04714,74813.34224
1-Hexanol,13.3977151,9.372883841,9.226737976,-,-,-
2-nonanone,55.73913981,52.54675173,47.28156148,38.0705058,54.6967739,52.85642978
Acetic acid,74442.12399,78073.83918,59687.12669,48217.58446,33689.776,39247.91884
benzaldehyde,80.25232068,80.85897558,77.53432903,81.8687575,77.84316711,80.38203538
2-Undecanone,-,5.292922802,5.243485537,-,5.341230954,-
Butanoic acid,1389.741215,1060.623153,811.0716689,1760.768139,1628.237433,1749.033458
Hexanoic acid,2283.258601,1961.528616,1537.806286,2405.209527,2690.304332,2504.727568
Dimethyl sulfone,-,-,1069.154889,1346.775031,1221.720248,1227.083648
Phenol,5.78483589,5.939591401,5.290098117,6.031368499,4.759951747,4.741773811
Octanoic acid,643.8721677,488.1595206,404.1428085,527.0386574,616.2080928,598.3229783
delta-Decalactone,51.280441,48.29345507,48.16399431,53.00094985,50.80931127,53.24214775
Decanoic acid,595.3994828,468.3845649,384.5917893,-,502.0427296,505.516648
Label,Fruity,Fruity,Fruity,Fruity,Fruity,Fruity
