Sample,S09_1,S09_2,S09_3,S13_1,S13_2,S13_3,S20_1,S20_2,S20_3,S15_1,S15_2,S15_3,S04_1,S04_2,S04_3
Acetaldehyde,270.5893398,-,220.7996275,142.4289072,37.10121736,165.7321187,-,348.4852291,228.1018854,24.90278489,-,32.94689636,20.38920698,530.2337082,537.7526232
"2,3-Butanedione",1795.570971,1817.547948,1987.756848,2352.338298,3240.093017,2634.663487,2072.809704,1960.396684,1904.003395,2369.643078,2583.084899,3062.045158,1779.680165,1881.96977,2293.369676
"2,3-Pentanedione",-,-,-,-,-,-,-,-,-,-,-,-,140.2969088,-,167.750782
2-Heptanone,44.5251624,35.60452513,13.53214517,116.3063245,113.8368985,123.4148506,23.90012459,21.91650088,20.13682588,65.07489628,36.60450969,-,-,-,-
Acetoin,7488.152833,7615.577633,10471.44628,4883.525829,4858.106202,4768.366417,8880.485589,7740.482412,7513.139187,9775.863069,9991.255277,8376.341682,3724.850153,4442.600606,4487.606494
1-Hexanol,9.863483556,8.117219833,7.977869906,8.046409522,8.656058003,8.248881248,-,-,-,-,-,-,-,-,-
Dimethyl trisulfide,4.816826331,4.815069231,-,-,-,4.757795455,-,4.950004436,-,-,-,-,4.819310101,4.810312363,4.833595351
2-Nonanone,40.05912952,37.75110329,38.41220711,66.99706773,53.41883896,51.57872646,38.06952642,-,-,46.61292072,49.11852765,41.06363068,-,37.44970704,41.38010678
Acetic acid,13855.36976,17697.75759,22403.93848,8607.570305,7538.2215,7775.026359,9948.940913,9350.313833,10606.29316,10841.03756,12841.80983,12569.15975,5041.293831,3715.455736,5878.932647
Benzaldehyde,68.79726188,67.6690936,-,67.1363611,-,66.96847157,67.17674674,66.708858,69.41394134,71.28616783,71.67095325,69.05998124,68.88193028,69.52887887,-
2-Undecanone,-,-,-,10.48947721,8.067868064,7.40063126,-,-,-,5.38280636,5.169165837,-,-,-,-
Butanoic acid,795.6906593,924.8696556,1236.384332,395.1035732,406.1457905,395.1028408,307.8676219,300.4753782,309.7778685,737.049137,732.9902151,778.117159,275.4945129,300.8862887,311.7070781
Hexanoic acid,475.7086345,413.9052032,743.6170837,253.0229266,229.9770532,229.2925736,262.367672,208.4951835,224.0070066,1189.04076,1027.690881,1795.920581,711.4059801,875.672123,821.3603893
Dimethyl sulfone,847.9097997,875.4765299,1368.627821,1070.737987,951.4118238,851.0374632,1493.216183,1147.57264,-,2133.230651,1223.81179,2768.519089,1518.23184,1342.377131,1139.090997
Heptanoic acid,-,-,-,-,-,-,-,-,-,451.1863408,-,457.7773753,428.4934307,429.3065216,428.3878298
Phenol,4.164624802,4.109726759,4.825735418,2.92605773,3.807646358,2.92605773,-,4.665313651,-,6.222203907,4.862636013,4.970235103,4.150702762,4.137294875,5.196517928
Octanoic acid,162.9423984,-,-,139.9101327,-,-,-,60.82004657,87.35661337,230.7920645,191.1380719,539.548025,352.0077889,448.4222719,389.7680074
delta-Decalactone,-,-,48.63388013,52.43737422,44.29587389,45.91746392,-,42.79498041,-,59.3334413,59.80750139,71.05342446,-,-,-
Decanoic acid,-,-,-,-,-,-,-,-,-,150.130818,-,657.0306607,225.0028402,302.9035386,319.8726508
Label,Milky,Milky,Milky,Milky,Milky,Milky,Milky,Milky,Milky,Milky,Milky,Milky,Milky,Milky,Milky
